Fighter_Name,Height,Weight,Reach,Stance,DOB,Wins,Losses,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Fighter_URL,Height_cm
Kantharaj Agasa,,135 lbs.,,,1992-02-16,12,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/26f4288e83188c61,
Marcelo Aguiar,"5' 10""",170 lbs.,,Orthodox,1969-01-20,2,3,1,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/44aa652b181bcf68,177.8
Fabio Aguiar,"6' 0""",185 lbs.,,,1988-02-10,17,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/501821d7fb7b95c1,182.9
Edwin Aguilar,"5' 10""",185 lbs.,,,1972-01-01,26,19,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015,177.8
Jessica Aguilar,"5' 3""",115 lbs.,"63.0""",Orthodox,1982-05-08,20,8,0,4.93,50%,7.19,53%,0.94,25%,50%,0.2,http://ufcstats.com/fighter-details/8f382b3baa954d2a,160.0
Kevin Aguilar,"5' 7""",155 lbs.,"73.0""",Orthodox,1988-09-07,17,5,0,3.96,40%,4.81,52%,0.16,16%,78%,0.0,http://ufcstats.com/fighter-details/cf946e03ba2e7666,170.2
Jesus Aguilar,"5' 4""",125 lbs.,"62.0""",Orthodox,1996-03-13,12,4,0,2.54,38%,2.29,61%,1.52,29%,45%,1.1,http://ufcstats.com/fighter-details/c051c2e12d692b8a,162.6
Christian Aguilera,"5' 9""",170 lbs.,"72.0""",Switch,1991-11-25,14,8,0,2.54,37%,4.04,48%,0.0,0%,60%,0.0,http://ufcstats.com/fighter-details/ae071698e1a3ccd4,175.3
Nick Aguirre,"5' 9""",135 lbs.,"74.0""",Southpaw,1996-01-15,7,2,0,0.73,33%,2.89,45%,1.16,20%,33%,0.6,http://ufcstats.com/fighter-details/0978385b2bd9ef9b,175.3
Agulali,"5' 9""",125 lbs.,"67.0""",Switch,2005-04-07,13,2,0,2.74,60%,2.19,59%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/b2efa582adf73604,175.3
Ahejiang Ailinuer,,145 lbs.,,,,15,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/ff584c17bccbae0b,
Mike Aina,"5' 9""",155 lbs.,,Orthodox,1980-12-25,14,6,1,2.87,33%,6.33,59%,0.0,0%,71%,0.0,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,175.3
Ashiek Ajim,"5' 8""",135 lbs.,"71.0""",Switch,1994-06-19,6,2,0,5.0,40%,11.25,25%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/49dea784f6cfed71,172.7
Hitomi Akano,"5' 4""",135 lbs.,,Southpaw,1974-07-27,18,10,0,0.59,45%,2.58,55%,0.0,0%,8%,0.5,http://ufcstats.com/fighter-details/2eada40ac8801559,162.6
Omari Akhmedov,"6' 0""",185 lbs.,"73.0""",Orthodox,1987-10-12,21,6,1,2.97,34%,2.84,55%,2.58,45%,65%,0.2,http://ufcstats.com/fighter-details/16690d100f995f8f,182.9
Yoshihiro Akiyama,"5' 10""",170 lbs.,"75.0""",Orthodox,1975-07-29,14,6,0,3.1,41%,3.62,57%,2.29,67%,92%,1.0,http://ufcstats.com/fighter-details/b0550072e5f0afa7,177.8
Rostem Akman,"5' 10""",170 lbs.,"72.0""",Switch,1991-12-19,6,2,0,1.8,25%,3.97,57%,1.0,40%,87%,0.0,http://ufcstats.com/fighter-details/1fc64507a0cb38cf,177.8
Razak Al-Hassan,"6' 2""",205 lbs.,,Orthodox,1982-05-14,13,5,0,3.27,39%,3.14,60%,0.65,14%,57%,0.0,http://ufcstats.com/fighter-details/38b50fd1e1b5b656,188.0
Abdul-Kareem Al-Selwady,"5' 8""",155 lbs.,"69.0""",Orthodox,1995-04-10,15,4,0,4.14,34%,3.6,59%,2.32,30%,20%,0.0,http://ufcstats.com/fighter-details/597499ac7a5aac62,172.7
Mostapha Al-Turk,"6' 2""",245 lbs.,"77.0""",Orthodox,1973-07-14,6,6,0,1.36,19%,3.61,53%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/1cf1310684a841f5,188.0
Herdem Alacabek,"6' 2""",205 lbs.,"75.0""",Orthodox,1991-06-07,5,1,0,3.84,65%,6.66,23%,2.06,50%,42%,0.0,http://ufcstats.com/fighter-details/7578cc6bd750206b,188.0
Javi Alanis,"5' 6""",135 lbs.,,,,0,4,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/2144954270be834d,167.6
Alatengheili,"5' 5""",135 lbs.,"66.0""",Orthodox,1991-12-14,17,10,2,2.82,32%,5.12,57%,1.74,43%,75%,0.0,http://ufcstats.com/fighter-details/1897b7b913736a7c,165.1
Amir Albazi,"5' 5""",125 lbs.,"68.0""",Orthodox,1993-10-27,17,3,0,2.47,33%,3.88,59%,1.18,25%,62%,0.4,http://ufcstats.com/fighter-details/6d35bf94f7d30241,165.1
Brett Albee,,225 lbs.,,,,3,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/9b28292abe3166d5,
John Albert,"5' 8""",135 lbs.,"68.0""",Orthodox,1986-10-13,6,5,0,3.05,49%,2.82,35%,0.0,0%,50%,6.1,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,172.7
Junior Albini,"6' 3""",264 lbs.,"74.0""",Orthodox,1991-03-15,14,6,0,3.98,51%,6.08,52%,1.54,37%,100%,0.0,http://ufcstats.com/fighter-details/c482c8605455a213,190.5
Wes Albritton,"5' 10""",188 lbs.,,Orthodox,,0,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/184b955181bdef52,177.8
Aleksandra Albu,"5' 2""",115 lbs.,"63.0""",Orthodox,1990-07-14,3,2,0,4.83,47%,5.56,38%,2.27,50%,77%,0.4,http://ufcstats.com/fighter-details/e76d9f656ceb82ab,157.5
Israel Albuquerque,,185 lbs.,,Orthodox,,0,3,0,0.32,13%,3.34,25%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/dd1b90eea08887f6,
Juan Alcain,,,,,,1,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/39f62b833e4cf126,
Iuri Alcantara,"5' 9""",135 lbs.,"71.0""",Southpaw,1980-08-04,35,10,0,2.72,45%,2.79,49%,1.44,62%,60%,0.8,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,175.3
Ildemar Alcantara,"6' 2""",185 lbs.,"78.0""",Orthodox,1982-11-18,21,11,0,1.93,38%,2.63,50%,2.0,68%,81%,0.9,http://ufcstats.com/fighter-details/7c6e87729e824ef4,188.0
Alfonso Alcarez,"5' 3""",145 lbs.,,,1970-06-10,1,3,1,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/1e38bba6738b7b10,160.0
Gilbert Aldana,"6' 1""",250 lbs.,,Orthodox,1977-08-25,6,2,0,2.91,54%,6.26,26%,2.57,40%,33%,0.0,http://ufcstats.com/fighter-details/d26934530dc5b248,185.4
Irene Aldana,"5' 9""",135 lbs.,"68.0""",Orthodox,1988-03-26,15,8,0,5.19,39%,6.64,56%,0.15,50%,77%,0.2,http://ufcstats.com/fighter-details/578ef12674df1e6a,175.3
Hector Aldana,"5' 11""",170 lbs.,"72.0""",Orthodox,1988-08-17,4,3,0,3.59,38%,5.08,59%,0.93,100%,0%,0.0,http://ufcstats.com/fighter-details/c487223b0289bda9,180.3
Jose Alday,"5' 7""",135 lbs.,"68.0""",Orthodox,1991-09-14,14,6,1,3.13,44%,3.13,58%,0.0,0%,57%,0.0,http://ufcstats.com/fighter-details/7460ddef986d3144,170.2
Jose Aldo,"5' 7""",135 lbs.,"70.0""",Orthodox,1986-09-09,32,10,0,3.65,46%,3.81,60%,0.47,51%,92%,0.1,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,170.2
JJ Aldrich,"5' 5""",125 lbs.,"67.0""",Southpaw,1992-09-29,14,7,0,3.96,47%,4.32,61%,0.75,26%,67%,0.0,http://ufcstats.com/fighter-details/6fd953151d981979,165.1
Irina Alekseeva,"5' 8""",135 lbs.,"67.0""",Orthodox,1990-06-27,5,4,0,3.42,38%,5.02,45%,0.38,20%,50%,0.4,http://ufcstats.com/fighter-details/103e2e33a60683e1,172.7
Talita Alencar,"5' 1""",115 lbs.,"58.0""",Orthodox,1990-10-17,7,1,1,2.91,37%,3.36,55%,3.02,26%,66%,0.6,http://ufcstats.com/fighter-details/d35298b6df168456,154.9
Jim Alers,"5' 9""",145 lbs.,"71.0""",Orthodox,1986-10-14,13,3,0,2.9,40%,4.38,56%,2.26,41%,80%,0.3,http://ufcstats.com/fighter-details/fe5a9547479396ab,175.3
John Alessio,"5' 10""",155 lbs.,"72.0""",Orthodox,1979-07-05,35,17,0,2.1,39%,2.91,54%,1.85,38%,70%,1.2,http://ufcstats.com/fighter-details/7a15f3694c5cbc02,177.8
Houston Alexander,"6' 0""",205 lbs.,"72.0""",Orthodox,1972-03-22,17,15,1,3.06,54%,3.2,52%,1.19,57%,33%,0.0,http://ufcstats.com/fighter-details/0541480fbf719d86,182.9
Kenneth Alexander,"5' 9""",155 lbs.,,Orthodox,1977-09-25,7,6,0,0.88,19%,2.2,66%,4.71,26%,0%,0.0,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2,175.3
Lucas Alexander,"5' 11""",145 lbs.,"73.0""",Orthodox,1995-07-28,8,5,0,4.69,57%,2.87,56%,0.0,0%,60%,0.0,http://ufcstats.com/fighter-details/11583163f45c7b31,180.3
Marcio Alexandre Junior,"6' 0""",185 lbs.,"75.0""",Southpaw,1989-05-05,17,4,0,1.61,45%,2.89,42%,0.35,20%,66%,0.7,http://ufcstats.com/fighter-details/d53482bef23235ba,182.9
Olaf Alfonso,"6' 2""",170 lbs.,,Orthodox,1974-08-06,8,12,0,1.65,38%,4.77,53%,0.37,7%,22%,0.7,http://ufcstats.com/fighter-details/b757c73f443d4fca,188.0
Pablo Alfonso,"5' 8""",145 lbs.,,,1983-05-09,9,7,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1,172.7
Levi Alford,,,,,,1,7,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/41b34b7f11f6d085,
Bill Algeo,"6' 0""",145 lbs.,"73.0""",Switch,1989-06-09,18,9,0,5.88,51%,4.38,47%,1.03,50%,55%,0.1,http://ufcstats.com/fighter-details/9abc648e76c4493a,182.9
Royce Alger,"5' 10""",199 lbs.,,Orthodox,1965-03-06,3,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/669a3cb6e394f515,177.8
Amir Aliakbari,"6' 3""",250 lbs.,,,1984-06-10,10,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/e17770faae3ca54c,190.5
Sultan Aliev,"5' 11""",170 lbs.,"74.0""",Orthodox,1984-09-17,15,3,0,1.41,45%,2.2,56%,1.76,38%,100%,0.0,http://ufcstats.com/fighter-details/e70de1859b7ee78e,180.3
Nurullo Aliev,"5' 10""",155 lbs.,"72.0""",Orthodox,2000-12-08,11,0,0,2.72,44%,1.63,58%,2.12,43%,80%,0.3,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9,177.8
Ikram Aliskerov,"6' 0""",185 lbs.,"76.0""",Southpaw,1992-12-07,17,2,0,6.86,64%,5.47,41%,3.2,60%,100%,0.5,http://ufcstats.com/fighter-details/b07aed698fba8624,182.9
Leon Aliu,"6' 0""",185 lbs.,"74.0""",Orthodox,1989-07-14,10,2,0,6.32,50%,10.11,38%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/6db394bf6c3b017c,182.9
John Allan,"6' 1""",205 lbs.,"75.0""",Orthodox,1993-02-22,13,7,0,3.56,42%,5.74,52%,1.4,71%,50%,0.8,http://ufcstats.com/fighter-details/6ebe96a116e79e52,185.4
George Allen,"6' 2""",205 lbs.,,Open Stance,1967-01-13,13,19,2,0.8,38%,3.1,43%,0.0,0%,50%,0.0,http://ufcstats.com/fighter-details/1e13936d708bcff7,188.0
Arnold Allen,"5' 8""",145 lbs.,"70.0""",Southpaw,1994-01-22,20,4,0,3.47,42%,3.04,60%,0.86,47%,71%,0.3,http://ufcstats.com/fighter-details/040a74bb0a465c54,172.7
Brendan Allen,"6' 2""",185 lbs.,"75.0""",Orthodox,1995-12-28,26,7,0,3.59,53%,3.62,47%,1.56,42%,56%,1.1,http://ufcstats.com/fighter-details/2f181c0467965b98,188.0
Daniel Allen,"6' 0""",155 lbs.,"75.0""",Southpaw,1992-08-10,5,0,0,7.6,51%,5.87,53%,2.0,66%,100%,0.0,http://ufcstats.com/fighter-details/adf9a901308fb8e3,182.9
Ben Alloway,"5' 11""",170 lbs.,"76.0""",Orthodox,1981-02-19,18,8,0,1.28,49%,1.9,59%,0.62,50%,26%,0.0,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,180.3
Asu Almabayev,"5' 4""",125 lbs.,"65.0""",Orthodox,1994-01-25,23,3,0,2.31,50%,1.99,53%,4.46,42%,44%,1.5,http://ufcstats.com/fighter-details/8d3273573b85be09,162.6
Bekzat Almakhan,"5' 7""",135 lbs.,"68.0""",Orthodox,1997-10-08,12,3,0,1.61,34%,3.73,36%,0.0,0%,41%,0.0,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1,170.2
John Dave Almanza,"5' 7""",125 lbs.,"67.0""",Southpaw,2004-03-22,6,1,0,1.92,41%,5.75,27%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/088aa1b19b2dc14a,170.2
Ricardo Almeida,"6' 0""",170 lbs.,"74.0""",Orthodox,1976-11-29,13,5,0,2.02,49%,1.2,61%,3.74,38%,31%,1.2,http://ufcstats.com/fighter-details/91186547a7f3f758,182.9
Magno Almeida,"6' 0""",155 lbs.,,,1985-06-06,10,3,0,1.67,36%,2.6,41%,0.0,0%,40%,5.0,http://ufcstats.com/fighter-details/d615d6a10a4704cd,182.9
Thomas Almeida,"5' 7""",145 lbs.,"70.0""",Southpaw,1991-07-31,22,5,0,4.84,43%,4.93,61%,0.17,14%,75%,0.0,http://ufcstats.com/fighter-details/2b074403b7c6cdb4,170.2
Ericka Almeida,"5' 6""",115 lbs.,,Orthodox,1989-03-05,7,3,0,1.07,39%,3.33,43%,0.5,33%,37%,0.0,http://ufcstats.com/fighter-details/67a992d4cff22466,167.6
Estefani Almeida,"5' 4""",125 lbs.,,Orthodox,1988-10-17,7,3,0,3.13,37%,6.07,42%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/f16ddfa31236efed,162.6
Jailton Almeida,"6' 3""",225 lbs.,"79.0""",Orthodox,1991-06-26,22,5,0,2.23,62%,1.3,43%,5.64,55%,60%,1.7,http://ufcstats.com/fighter-details/41e83a89929d1327,190.5
Lucas Almeida,"5' 11""",145 lbs.,"71.0""",Orthodox,1991-01-31,15,5,0,4.94,39%,5.36,44%,0.0,0%,53%,0.0,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,180.3
Cesar Almeida,"6' 1""",185 lbs.,"74.0""",Orthodox,1988-03-28,7,2,0,3.46,58%,2.03,46%,0.0,0%,52%,0.2,http://ufcstats.com/fighter-details/64d47ef881a437a4,185.4
Mauricio Alonso,"6' 2""",170 lbs.,,,1980-02-27,13,7,0,5.74,34%,1.91,67%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/c6bf75775b278ed8,188.0
Sarah Alpar,"5' 4""",135 lbs.,"63.0""",Southpaw,1991-06-01,9,6,0,2.36,44%,6.06,38%,1.61,26%,20%,0.4,http://ufcstats.com/fighter-details/49b130de1da2e1bf,162.6
Ali AlQaisi,"5' 6""",135 lbs.,"68.0""",Orthodox,1990-09-23,8,5,0,2.43,42%,1.97,56%,3.5,29%,60%,1.0,http://ufcstats.com/fighter-details/e87a13e02c01331d,167.6
Rico Altamirano,"5' 10""",170 lbs.,,,,4,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/c61b49cec6abd6b9,177.8
Victor Altamirano,"5' 8""",125 lbs.,"70.0""",Switch,1991-01-23,12,5,0,4.58,53%,3.82,53%,2.88,38%,63%,0.0,http://ufcstats.com/fighter-details/dc7927cd622676a7,172.7
Mike Altman,"5' 10""",185 lbs.,,Orthodox,,1,4,0,1.56,20%,2.08,75%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/c11036da9162cb5f,177.8
Patricia Alujas,"5' 4""",115 lbs.,"64.0""",Orthodox,1996-05-08,9,3,0,5.83,31%,9.25,44%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/430c533614d45813,162.6
Sean Alvarez,"6' 0""",235 lbs.,,Orthodox,1971-07-14,4,3,0,0.89,37%,3.25,47%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/e741536153227386,182.9
Eddie Alvarez,"5' 9""",155 lbs.,"69.0""",Orthodox,1984-01-11,29,6,0,4.32,41%,4.39,55%,2.92,36%,92%,0.5,http://ufcstats.com/fighter-details/33a331684283900f,175.3
Jaime Alvarez,"5' 8""",125 lbs.,"69.0""",Orthodox,1988-03-08,6,1,0,2.73,40%,4.53,56%,1.0,33%,50%,0.0,http://ufcstats.com/fighter-details/4438482bd1d5a029,172.7
Joel Alvarez,"6' 3""",155 lbs.,"77.0""",Orthodox,1993-03-02,23,3,0,4.78,55%,3.07,54%,0.19,33%,47%,1.1,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,190.5
Thiago Alves,"5' 9""",170 lbs.,"70.0""",Orthodox,1983-10-03,23,15,0,3.73,41%,3.42,62%,0.71,60%,63%,0.3,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,175.3
Anthony Alves,,,,,,1,4,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/bd92cf5da5413d2a,
Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,1988-08-08,15,12,0,0.5,46%,2.02,30%,0.0,0%,53%,0.0,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,182.9
Warlley Alves,"5' 11""",185 lbs.,"72.0""",Orthodox,1991-01-04,15,8,0,3.04,48%,3.95,50%,1.22,50%,62%,0.8,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f,180.3
Rafael Alves,"5' 8""",155 lbs.,"68.0""",Orthodox,1990-11-14,20,12,0,1.85,48%,3.3,58%,0.29,25%,44%,1.5,http://ufcstats.com/fighter-details/029afd138865d20a,172.7
Sam Alvey,"6' 2""",185 lbs.,"75.0""",Southpaw,1986-05-06,33,18,1,3.28,44%,3.63,52%,0.06,14%,82%,0.1,http://ufcstats.com/fighter-details/d156513a19acf856,188.0
Christopher Alvidrez,"6' 0""",170 lbs.,"74.0""",Orthodox,1996-12-27,7,1,0,6.97,62%,2.11,50%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/f4abf9aeda861283,182.9
Mahamed Aly,"6' 2""",205 lbs.,"78.0""",Orthodox,1994-01-11,4,1,0,6.0,66%,12.0,33%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/86c1441676af2c73,188.0
Andre Amado,"6' 0""",154 lbs.,,Orthodox,1983-10-09,6,4,1,2.27,24%,5.91,63%,0.0,0%,20%,0.0,http://ufcstats.com/fighter-details/20821819c401ced8,182.9
Adlan Amagov,"6' 2""",170 lbs.,"76.0""",Orthodox,1986-10-30,14,2,1,3.29,47%,0.82,78%,5.84,56%,100%,0.0,http://ufcstats.com/fighter-details/1e327b281ef6a745,188.0
Maiara Amanajas dos Santos,"5' 5""",115 lbs.,,Southpaw,1987-07-11,7,3,0,5.53,35%,24.47,33%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/247fbbfafea60bb1,165.1
Chris Amarante,,185 lbs.,,,,2,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/ee0b69e307c857e5,
Jimmy Ambriz,"6' 2""",315 lbs.,,Southpaw,1970-01-26,17,21,1,0.83,29%,3.76,40%,3.13,57%,100%,0.8,http://ufcstats.com/fighter-details/c912f676692c353a,188.0
JJ Ambrose,"5' 10""",170 lbs.,,Orthodox,1987-02-06,28,7,0,3.16,69%,6.32,33%,0.0,0%,50%,0.0,http://ufcstats.com/fighter-details/d562b12b8fe88336,177.8
Alen Amedovski,"5' 10""",185 lbs.,"74.0""",Orthodox,1988-04-06,8,4,0,0.99,30%,3.85,46%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,177.8
Hyder Amil,"5' 9""",145 lbs.,"70.0""",Switch,1990-05-28,11,2,0,5.81,52%,3.95,51%,0.56,18%,65%,0.8,http://ufcstats.com/fighter-details/41cc71cbf210e0fe,175.3
Hamid Amiri,,145 lbs.,,,2003-06-15,9,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/6c40705cf6c0d7e2,
Makwan Amirkhani,"5' 10""",145 lbs.,"72.0""",Southpaw,1988-11-08,17,9,0,1.33,44%,2.98,46%,3.96,43%,35%,1.1,http://ufcstats.com/fighter-details/87a1dc546b1c5caf,177.8
Jaqueline Amorim,"5' 3""",115 lbs.,"68.0""",Orthodox,1995-06-24,10,2,0,2.43,50%,2.16,54%,2.16,36%,0%,3.8,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08,160.0
Yaroslav Amosov,"6' 0""",170 lbs.,"75.0""",Orthodox,1993-09-09,29,1,0,2.78,47%,1.55,54%,4.64,50%,0%,4.6,http://ufcstats.com/fighter-details/f139d6836efd43dd,182.9
Bertrand Amoussou,"5' 8""",190 lbs.,,Orthodox,1966-05-28,1,1,0,6.75,39%,2.01,83%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/53adf5b845d91e4a,172.7
Karl Amoussou,"5' 11""",185 lbs.,,Orthodox,1985-11-21,27,7,2,1.47,34%,2.67,54%,0.0,0%,25%,1.0,http://ufcstats.com/fighter-details/23a8c33869bf5392,180.3
