Nome,DOB,Fighter_URL
Tyrone Roberts,1972-07-14,http://ufcstats.com/fighter-details/d1e6a6536ee62517
Gegard Mousasi,1985-08-01,http://ufcstats.com/fighter-details/232c582f29f8f65e
Yves Edwards,1976-09-30,http://ufcstats.com/fighter-details/5f04e3d58d9ce982
Drew Fickett,1979-12-14,http://ufcstats.com/fighter-details/d814f5192e58fb2f
Alonzo Martinez,1984-04-22,http://ufcstats.com/fighter-details/feffee4fc6da3aa3
Brock Larson,1977-08-23,http://ufcstats.com/fighter-details/5eedbf1e9601be35
Satoru Kitaoka,1980-02-04,http://ufcstats.com/fighter-details/e2ac5bb645f33088
Shayilan Nuerdanbieke,1994-05-04,http://ufcstats.com/fighter-details/0a73acff6325c1e2
Shinya Aoki,1983-05-09,http://ufcstats.com/fighter-details/79ded75550efc139
Daniel Weichel,1984-11-22,http://ufcstats.com/fighter-details/7b9dade6bedaabbe
Gilbert Yvel,1976-06-30,http://ufcstats.com/fighter-details/d29b5c4f22c6357d
Paul Daley,1983-02-21,http://ufcstats.com/fighter-details/23725c826c481e7f
Alexander Volkov,1988-10-24,http://ufcstats.com/fighter-details/279566840aa55bf2
Ben Rothwell,1981-10-17,http://ufcstats.com/fighter-details/bd58d34e39b7b12a
Geronimo dos Santos,1980-08-17,http://ufcstats.com/fighter-details/b51f6791c794e289
Masakatsu Funaki,1969-03-13,http://ufcstats.com/fighter-details/aa3153a9941b4d44
Jorge Patino,1973-08-05,http://ufcstats.com/fighter-details/c8cca8f3de5be4b4
Clay Guida,1981-12-08,http://ufcstats.com/fighter-details/c47df9303d318c67
Anthony Smith,1988-07-26,http://ufcstats.com/fighter-details/d4c9dcd330403612
Jim Miller,1983-08-30,http://ufcstats.com/fighter-details/d1941565abf50b16
Andre Santos,,http://ufcstats.com/fighter-details/5b5b78116d1fc3eb
Joilton Lutterbach,1992-11-05,http://ufcstats.com/fighter-details/12630a4aa0894da8
Edwin DeWees,1982-08-07,http://ufcstats.com/fighter-details/75bbd2206a15319f
Hayato Sakurai,1975-08-24,http://ufcstats.com/fighter-details/85e26e2468b4e82f
Nick Thompson,1981-06-23,http://ufcstats.com/fighter-details/7d3caf0f96f1b33d
Jaime Jara,1969-08-02,http://ufcstats.com/fighter-details/805ad1801eb26abb
Gerald Meerschaert,1987-12-18,http://ufcstats.com/fighter-details/6ac9bc2953c47345
Patricio Freire,1987-07-07,http://ufcstats.com/fighter-details/98a58c26c5b1ed17
Renato Sobral,1975-09-07,http://ufcstats.com/fighter-details/d468288756ae3982
Charles Oliveira,1989-10-17,http://ufcstats.com/fighter-details/07225ba28ae309b6
Jose Maria,1982-01-04,http://ufcstats.com/fighter-details/b35ba64b6a2bbcb3
Maiquel Falcao,1981-03-08,http://ufcstats.com/fighter-details/d58478ded5534695
Quinton Jackson,1978-06-20,http://ufcstats.com/fighter-details/ffc088e64fab57e9
Tatsuya Kawajiri,1978-05-08,http://ufcstats.com/fighter-details/80d918336163b80c
Sean Sherk,1973-08-05,http://ufcstats.com/fighter-details/029880cdbf5ca089
Sean Wilson,1982-10-20,http://ufcstats.com/fighter-details/b8e6393c39cb9740
Nursulton Ruziboev,1993-11-19,http://ufcstats.com/fighter-details/49d2a08964c5eb11
Josh Neer,1983-03-24,http://ufcstats.com/fighter-details/d1a1314976c50bef
Bart Palaszewski,1983-05-30,http://ufcstats.com/fighter-details/4304992c2acc187b
Donald Cerrone,1983-03-29,http://ufcstats.com/fighter-details/1d00756835ca67c9
Jinensibieke Asikeerbai,1988-07-10,http://ufcstats.com/fighter-details/4eccb78d628b2238
Jeff Curran,1977-09-02,http://ufcstats.com/fighter-details/a8ea84cbe1655f0a
Fedor Emelianenko,1976-09-28,http://ufcstats.com/fighter-details/b8da6f5c80ae2d15
Masakazu Imanari,1976-02-10,http://ufcstats.com/fighter-details/a4dd5c9a75763295
Kyoji Horiguchi,1990-10-12,http://ufcstats.com/fighter-details/98aa60cf58071fd6
Bobby Hoffman,1968-10-28,http://ufcstats.com/fighter-details/afaad7d6a581e307
Harris Sarmiento,1983-09-09,http://ufcstats.com/fighter-details/026b4f7049085842
Dion Staring,1978-06-09,http://ufcstats.com/fighter-details/289a57039d742bfe
Jorge Masvidal,1984-11-12,http://ufcstats.com/fighter-details/47b9e0e7703a4868
Akihiro Gono,1974-10-07,http://ufcstats.com/fighter-details/b2acebbef8da14ea
Denis Kang,1977-09-17,http://ufcstats.com/fighter-details/3c241737a6069b9f
Urijah Faber,1979-05-14,http://ufcstats.com/fighter-details/78114b7199cef90c
Takanori Gomi,1978-09-22,http://ufcstats.com/fighter-details/3be081c29bf734d9
Josh Barnett,1977-11-10,http://ufcstats.com/fighter-details/ad3f53c454cbbead
Ronys Torres,1975-08-13,http://ufcstats.com/fighter-details/cce79e827569f26e
Yoshiro Maeda,1981-10-31,http://ufcstats.com/fighter-details/a4bf17bd3ba3423b
Nate Marquardt,1979-04-20,http://ufcstats.com/fighter-details/a8e6a69796280f17
Alexander Sarnavskiy,1989-01-17,http://ufcstats.com/fighter-details/2097b1a5ff47dfb0
Mirko Filipovic,1974-09-10,http://ufcstats.com/fighter-details/c32fb8c0f6471a4d
John Gunderson,1979-01-05,http://ufcstats.com/fighter-details/a0c139b34f11421a
Wanderlei Silva,1976-07-03,http://ufcstats.com/fighter-details/a1f6999fe57236e0
Paul Buentello,1974-01-16,http://ufcstats.com/fighter-details/f0abbb6f3444dae7
John Alessio,1979-07-05,http://ufcstats.com/fighter-details/7a15f3694c5cbc02
Iuri Alcantara,1980-08-04,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
Andrei Semenov,1977-06-17,http://ufcstats.com/fighter-details/5f2f0da6fd6a84fd
Yushin Okami,1981-07-21,http://ufcstats.com/fighter-details/acff437707625fc7
Anderson Silva,1975-04-14,http://ufcstats.com/fighter-details/1f454354805b6f75
King Green,1986-09-09,http://ufcstats.com/fighter-details/887961364be5ceb3
Andrei Arlovski,1979-02-04,http://ufcstats.com/fighter-details/3738e68d2261e60f
Antonio Rodrigo Nogueira,1976-06-02,http://ufcstats.com/fighter-details/ee9d73f4fee9cbdd
Hector Lombard,1978-02-02,http://ufcstats.com/fighter-details/db1f2ed63b54b9a7
Keita Nakamura,1984-05-22,http://ufcstats.com/fighter-details/65ddc8a9ac4e8531
Hideo Tokoro,1977-08-22,http://ufcstats.com/fighter-details/2d5fbe2103f97053
Pat Healy,1983-07-20,http://ufcstats.com/fighter-details/50d2f0018bcf9eef
Trevor Prangley,1972-08-24,http://ufcstats.com/fighter-details/f5ff7bcdcfeba3ad
Will Chope,1990-09-08,http://ufcstats.com/fighter-details/db5dc7cb80d7d418
Ding Meng,1994-09-27,http://ufcstats.com/fighter-details/e0664abaa023fd6f
Naoyuki Kotani,1981-12-08,http://ufcstats.com/fighter-details/bc8f6b42767e28df
Renan Barao,1987-01-31,http://ufcstats.com/fighter-details/2c99576fefe53c7c
Ron Faircloth,1979-08-16,http://ufcstats.com/fighter-details/453ee00c3e1ae9dd
Gleison Tibau,1983-10-07,http://ufcstats.com/fighter-details/75e5fec9f72910ef
Stefan Struve,1988-02-18,http://ufcstats.com/fighter-details/ebc1f40e00e0c481
Julio Cesar Neves Jr.,1994-04-25,http://ufcstats.com/fighter-details/195d0d3e14a2e256
Chad Reiner,1981-06-29,http://ufcstats.com/fighter-details/d8022d5526b1d937
Caol Uno,1975-05-08,http://ufcstats.com/fighter-details/eb1723480fa2f96c
Gleristone Santos,1988-08-20,http://ufcstats.com/fighter-details/d12ee718fb35c35c
Joe Stevenson,1982-06-15,http://ufcstats.com/fighter-details/79899ecf62020f6d
Sam Alvey,1986-05-06,http://ufcstats.com/fighter-details/d156513a19acf856
Anthony Ruiz,1977-11-03,http://ufcstats.com/fighter-details/657c21cb133f1445
Jason DeLucia,1969-07-24,http://ufcstats.com/fighter-details/6ceff86fae4f6b3b
Tim Means,1984-02-20,http://ufcstats.com/fighter-details/4b47e71384a9522f
Antony Rea,1976-07-15,http://ufcstats.com/fighter-details/c36e1f4fa755ffb4
Glover Teixeira,1979-10-28,http://ufcstats.com/fighter-details/7ff97850e8c32bda
Evan Tanner,1971-02-11,http://ufcstats.com/fighter-details/8f2d9ee27f206f1f
Xavier Foupa-Pokam,1982-07-03,http://ufcstats.com/fighter-details/ec33146e43e58933
Dan Henderson,1970-08-24,http://ufcstats.com/fighter-details/1ccf4e7caff270df
Maxim Grishin,1984-05-02,http://ufcstats.com/fighter-details/950d0ef5c17157c5
Rafael Dos Anjos,1984-10-26,http://ufcstats.com/fighter-details/6a2f7c151031653d
Shang Zhifa,1986-03-15,http://ufcstats.com/fighter-details/5a7350645bc9bd6e
Carlos Condit,1984-04-26,http://ufcstats.com/fighter-details/f9f07bb5a43535ed
Jiri Prochazka,1992-10-14,http://ufcstats.com/fighter-details/009341ed974bad72
Chris Curtis,1987-07-15,http://ufcstats.com/fighter-details/5442f1bc4b47eaf3
Jose Aldo,1986-09-09,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
Melvin Guillard,1983-03-30,http://ufcstats.com/fighter-details/ccd1299e0345e0ce
Michel Pereira,1993-10-06,http://ufcstats.com/fighter-details/595db60957de51d3
Kiyoshi Tamura,1969-12-17,http://ufcstats.com/fighter-details/30e8b4505f5ccf92
Carlo Prater,1981-06-25,http://ufcstats.com/fighter-details/4f853e98886283cf
Chris Lytle,1974-08-18,http://ufcstats.com/fighter-details/91acd6910b802a9e
Jesse Taylor,1983-01-02,http://ufcstats.com/fighter-details/dd992d569aaebee6
Neil Magny,1987-08-03,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5
Julian Erosa,1989-07-31,http://ufcstats.com/fighter-details/902ec2cc48c8ae8a
Diego Sanchez,1981-12-31,http://ufcstats.com/fighter-details/82e7929bf6c2b689
John Lineker,1990-06-12,http://ufcstats.com/fighter-details/c268b2cfebccf652
Sean Loeffler,1982-05-23,http://ufcstats.com/fighter-details/d3d1ff3f3dfa0931
Jordan Mein,1989-10-10,http://ufcstats.com/fighter-details/2aa49b3766a59bcd
Jake Ellenberger,1985-03-28,http://ufcstats.com/fighter-details/d81ac739417d7f53
Nikita Krylov,1992-03-07,http://ufcstats.com/fighter-details/1091d4d957141094
Jake Shields,1979-01-09,http://ufcstats.com/fighter-details/fe435e440b5de0ff
Santiago Ponzinibbio,1986-09-26,http://ufcstats.com/fighter-details/6d1bffff14897645
Tim Sylvia,1976-03-05,http://ufcstats.com/fighter-details/2a542ee8a8b83559
Donald Sanchez,1984-08-18,http://ufcstats.com/fighter-details/bb140b121283acbb
Sanae Kikuta,1971-09-10,http://ufcstats.com/fighter-details/e4bde462b043d3e1
Shunichi Shimizu,1985-01-31,http://ufcstats.com/fighter-details/10657c60ce349e0f
Nik Lentz,1984-08-13,http://ufcstats.com/fighter-details/6fb1ba67bef41b37
Matt Horwich,1978-10-02,http://ufcstats.com/fighter-details/049d698d773eb3e1
Yoshiki Takahashi,1969-03-13,http://ufcstats.com/fighter-details/6420efac0578988b
Guy Mezger,1968-01-01,http://ufcstats.com/fighter-details/946f341df6472ee0
Falaniko Vitale,1974-07-14,http://ufcstats.com/fighter-details/445a98acb8985970
Melvin Manhoef,1976-05-11,http://ufcstats.com/fighter-details/e5767ed355a937c2
Mikhail Iloukhine,1966-11-21,http://ufcstats.com/fighter-details/b71667c778b6d9e5
Cub Swanson,1983-11-02,http://ufcstats.com/fighter-details/d247691a6c0e9034
Dave Dalgliesh,1978-04-05,http://ufcstats.com/fighter-details/ddbd0d6259ce57cc
Robbie Lawler,1982-03-20,http://ufcstats.com/fighter-details/f2925e6db404bf1d
Valentijn Overeem,1976-08-17,http://ufcstats.com/fighter-details/20e403a1acfef130
Jon Fitch,1978-02-24,http://ufcstats.com/fighter-details/6f018c039b4d5d80
Phil Johns,1968-10-22,http://ufcstats.com/fighter-details/a8fa0c4e95512806
Tyler Stinson,1986-01-17,http://ufcstats.com/fighter-details/2cf520143e76cd2e
Iliarde Santos,1980-09-25,http://ufcstats.com/fighter-details/14aa21bc82cac57d
Sean Strickland,1991-02-27,http://ufcstats.com/fighter-details/0d8011111be000b2
Daniel Acacio,1977-12-27,http://ufcstats.com/fighter-details/1c5879330d42255f
Michael Bisping,1979-02-28,http://ufcstats.com/fighter-details/2b93ebd9f5417ad2
Chris Mickle,1983-07-10,http://ufcstats.com/fighter-details/f903967fd320da38
Charles Bennett,1979-11-23,http://ufcstats.com/fighter-details/8dc4f34c1f50d00d
Aaron Riley,1980-12-09,http://ufcstats.com/fighter-details/f2c8ebbeafd45f2b
Alexandre Pantoja,1990-04-16,http://ufcstats.com/fighter-details/a0f0004aadf10b71
Dustin Poirier,1989-01-19,http://ufcstats.com/fighter-details/029eaff01e6bb8f0
Steven Siler,1987-02-15,http://ufcstats.com/fighter-details/d188a3b817860ec6
Khabib Nurmagomedov,1988-09-20,http://ufcstats.com/fighter-details/032cc3922d871c7f
Jose Landi-Jons,1973-09-09,http://ufcstats.com/fighter-details/7e062824c175f975
Drew Dober,1988-10-19,http://ufcstats.com/fighter-details/519e4fe37ce9ff75
Douglas Lima,1988-01-05,http://ufcstats.com/fighter-details/264111bf62662fbf
Brian Gassaway,1972-08-07,http://ufcstats.com/fighter-details/e4770d5ed44a3970
Douglas Silva de Andrade,1985-06-22,http://ufcstats.com/fighter-details/3a314d9fa7c6825d
Delson Heleno,1977-11-16,http://ufcstats.com/fighter-details/970beed85bc46b63
Antonio McKee,1970-03-12,http://ufcstats.com/fighter-details/3414b50b08a10600
Joey Villasenor,1975-10-17,http://ufcstats.com/fighter-details/15515e797aedc137
Wendell Oliveira Marques,1983-06-01,http://ufcstats.com/fighter-details/32c03df3c9760069
Darren Elkins,1984-05-16,http://ufcstats.com/fighter-details/92a9aa9c93192871
Edilberto de Oliveira,1982-11-22,http://ufcstats.com/fighter-details/afdb76fbd86f6d11
Hatsu Hioki,1983-07-18,http://ufcstats.com/fighter-details/ef7fa30364cbe7f2
Jan Blachowicz,1983-02-24,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8
Dakota Cochrane,1986-05-01,http://ufcstats.com/fighter-details/8fa7e0bc052185ce
Yaroslav Amosov,1993-09-09,http://ufcstats.com/fighter-details/f139d6836efd43dd
Pat Miletich,1968-03-09,http://ufcstats.com/fighter-details/cedfdf8d423d500c
Egidijus Valavicius,1978-12-23,http://ufcstats.com/fighter-details/fc1868f56d3036eb
Eiji Ishikawa,1979-10-12,http://ufcstats.com/fighter-details/eb89dc31949a1427
Eddie Alvarez,1984-01-11,http://ufcstats.com/fighter-details/33a331684283900f
Chael Sonnen,1977-04-03,http://ufcstats.com/fighter-details/48d1f690b763934c
Rich Franklin,1974-10-05,http://ufcstats.com/fighter-details/d897897060f10a3a
Jim Wallhead,1984-03-14,http://ufcstats.com/fighter-details/0c670b443c3d269f
Lucas Lopes,1979-10-05,http://ufcstats.com/fighter-details/1f70dd67ad507990
Poppies Martinez,1983-08-19,http://ufcstats.com/fighter-details/8851bb0418d27d28
Wuziazibieke Jiahefu,1990-04-09,http://ufcstats.com/fighter-details/2d077e22886298be
Derrick Lewis,1985-02-07,http://ufcstats.com/fighter-details/d3df1add9d9a7efb
JJ Ambrose,1987-02-06,http://ufcstats.com/fighter-details/d562b12b8fe88336
Jeremy Stephens,1986-05-25,http://ufcstats.com/fighter-details/18968f97ad34f15c
Alexander Volkanovski,1988-09-29,http://ufcstats.com/fighter-details/e1248941344b3288
Heath Herring,1978-03-02,http://ufcstats.com/fighter-details/7450525c7ba032a0
Igor Pokrajac,1979-01-02,http://ufcstats.com/fighter-details/53278852bcd91e11
Joseph Benavidez,1984-07-31,http://ufcstats.com/fighter-details/80eacd4da0617c57
Robert McDaniel,1983-05-03,http://ufcstats.com/fighter-details/5cafbc97dba2e797
Nazareno Malegarie,1986-05-16,http://ufcstats.com/fighter-details/d38e8c6ae2dfc051
Efrain Escudero,1986-01-15,http://ufcstats.com/fighter-details/83fd97284f4bb4a4
Thales Leites,1981-09-06,http://ufcstats.com/fighter-details/cfb65863d5099327
Demian Maia,1977-11-06,http://ufcstats.com/fighter-details/427b5953ac8e3a27
Ron Fields,1974-11-18,http://ufcstats.com/fighter-details/6e380a4d73ab4f0e
Nariman Abbasov,1994-02-01,http://ufcstats.com/fighter-details/59a9d6dac61c2540
Jon Jones,1987-07-19,http://ufcstats.com/fighter-details/07f72a2a7591b409
Motonobu Tezuka,,http://ufcstats.com/fighter-details/d34636a85f0f4c90
Joe Lauzon,1984-05-22,http://ufcstats.com/fighter-details/3bad7ef643840f67
Raphael Assuncao,1982-07-19,http://ufcstats.com/fighter-details/2f13e4020cea5b38
Islam Makhachev,1991-10-27,http://ufcstats.com/fighter-details/275aca31f61ba28c
Rafael Silva,1985-03-20,http://ufcstats.com/fighter-details/a31358d90d4bb40a
Sergey Khandozhko,1992-05-19,http://ufcstats.com/fighter-details/90da09db03e41748
Daisuke Nakamura,1980-06-10,http://ufcstats.com/fighter-details/a196332ee4aa8a82
Johnny Eduardo,1978-08-03,http://ufcstats.com/fighter-details/528c24b99fbaab79
Adriano Martins,1982-12-16,http://ufcstats.com/fighter-details/7dcf06c1967801c1
James Krause,1986-06-04,http://ufcstats.com/fighter-details/8f6a18831a120817
Ken Shamrock,1964-02-11,http://ufcstats.com/fighter-details/63b65af1c5cb02cb
Keith Wisniewski,1981-10-25,http://ufcstats.com/fighter-details/cd12227edd3f134b
Kevin Holland,1992-11-05,http://ufcstats.com/fighter-details/3a46b268013afede
Bas Rutten,1965-02-24,http://ufcstats.com/fighter-details/03688dc3c3af3ac1
Abus Magomedov,1990-09-02,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4
Daniel Pineda,1985-08-06,http://ufcstats.com/fighter-details/361d49960a196976
Rani Yahya,1984-09-12,http://ufcstats.com/fighter-details/94527830000ab715
Francisco Trinaldo,1978-08-24,http://ufcstats.com/fighter-details/a8283a4f415e1eb9
Joshua Burkman,1980-04-10,http://ufcstats.com/fighter-details/6da99156486ed6c2
Marcin Tybura,1985-11-09,http://ufcstats.com/fighter-details/c9cf753cfdf77fc2
Ivan Jorge,1980-11-07,http://ufcstats.com/fighter-details/19db7ac26308178f
Rongzhu,2000-03-07,http://ufcstats.com/fighter-details/a13d755965a4ec9f
Demetrious Johnson,1986-08-13,http://ufcstats.com/fighter-details/8a304bfd6bf04a57
Mairbek Taisumov,1988-08-08,http://ufcstats.com/fighter-details/8f5c8850b2484173
Karl Amoussou,1985-11-21,http://ufcstats.com/fighter-details/23a8c33869bf5392
Vladimir Matyushenko,1971-01-04,http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6
Jens Pulver,1974-12-06,http://ufcstats.com/fighter-details/44260175069b6276
Mike Pyle,1975-09-18,http://ufcstats.com/fighter-details/f5990c11974d8e9c
Cheick Kongo,1975-05-17,http://ufcstats.com/fighter-details/1eacf73d6a0055dc
Ovince Saint Preux,1983-04-08,http://ufcstats.com/fighter-details/50db8711c70196cd
Diego Lopes,1994-12-30,http://ufcstats.com/fighter-details/f166e93d04a8c274
Ed Herman,1980-10-02,http://ufcstats.com/fighter-details/06f36cf4bd97ec77
Justin Gaethje,1988-11-14,http://ufcstats.com/fighter-details/9e8f6c728eb01124
Max Holloway,1991-12-04,http://ufcstats.com/fighter-details/150ff4cc642270b9
Laverne Clark,1973-12-02,http://ufcstats.com/fighter-details/1c2f2571b18791b6
Xiao Long,1998-04-13,http://ufcstats.com/fighter-details/86bace9e4ad85542
Brian Foster,1984-04-03,http://ufcstats.com/fighter-details/3dc3022232b79c7a
Robert Whittaker,1990-12-20,http://ufcstats.com/fighter-details/e1147d3d2dabe1ce
Mauricio Rua,1981-11-25,http://ufcstats.com/fighter-details/140745cbbcb023ac
Tsuyoshi Kohsaka,1970-03-06,http://ufcstats.com/fighter-details/b76ed59283d3559c
Mike Whitehead,1981-06-29,http://ufcstats.com/fighter-details/22d1e00e1aabb7c9
Derrick Noble,1978-08-14,http://ufcstats.com/fighter-details/21321cdfba797c52
Thomas Denny,1971-04-19,http://ufcstats.com/fighter-details/a11a6ee8eeb03c18
Darrick Minner,1990-04-28,http://ufcstats.com/fighter-details/34e516ab361afb1c
Maimaitituoheti Keremuaili,1991-03-18,http://ufcstats.com/fighter-details/772022b989534f0d
Matt Brown,1981-01-10,http://ufcstats.com/fighter-details/31123249b0bbf52e
Aaron Brink,1974-11-12,http://ufcstats.com/fighter-details/cf1a88371c8cb690
Jason Lambert,1975-06-03,http://ufcstats.com/fighter-details/5be86bb2f78fef2f
Nick Diaz,1983-08-02,http://ufcstats.com/fighter-details/f57a8a52ca401ed9
Masanori Kanehara,1982-11-19,http://ufcstats.com/fighter-details/f3a078277b3b8ff4
Mike Brown,1975-09-08,http://ufcstats.com/fighter-details/e0b74df14f52cd15
Tony Ferguson,1984-02-12,http://ufcstats.com/fighter-details/22a92d7f62195791
Rodney Wallace,1981-11-21,http://ufcstats.com/fighter-details/b9415726dc3ec526
Jacare Souza,1979-12-07,http://ufcstats.com/fighter-details/7a703c565ccaa18f
Vernon White,1971-12-03,http://ufcstats.com/fighter-details/12458872d6afae1b
Krzysztof Soszynski,1977-08-02,http://ufcstats.com/fighter-details/59583ff832fe9d68
Nick Rossborough,1981-11-18,http://ufcstats.com/fighter-details/ff3a915256b899c0
Sergei Kharitonov,1980-08-18,http://ufcstats.com/fighter-details/0693b2eab79198ea
Georges St-Pierre,1981-05-19,http://ufcstats.com/fighter-details/6506c1d34da9c013
Fernando Gonzalez,1983-09-15,http://ufcstats.com/fighter-details/be5aab761c40ef35
Aoriqileng,1993-06-25,http://ufcstats.com/fighter-details/7d420039bbfe7c1a
Alex Perez,1992-03-21,http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f
Jessica Andrade,1991-09-25,http://ufcstats.com/fighter-details/6a1901c62ab3870f
Georgi Karakhanyan,1985-05-29,http://ufcstats.com/fighter-details/43292ecf0e72c143
Yuya Shirai,1980-04-02,http://ufcstats.com/fighter-details/a79bfbc01b2264d6
Valentina Shevchenko,1988-03-07,http://ufcstats.com/fighter-details/132deb59abae64b1
Luigi Fioravanti,1981-01-22,http://ufcstats.com/fighter-details/9583662df31d943f
Melquizael Costa,1996-09-14,http://ufcstats.com/fighter-details/20bccc9bb4ceb23e
Jameel Massouh,1984-09-12,http://ufcstats.com/fighter-details/883922e5cd6d8473
Kazushi Sakuraba,1969-07-14,http://ufcstats.com/fighter-details/9b5b5a75523728f3
Michel Prazeres,1981-07-25,http://ufcstats.com/fighter-details/e51fcd9cd84c0b93
Homer Moore,1971-11-27,http://ufcstats.com/fighter-details/e56df3c1d8b4b1cc
Anthony Macias,1969-02-09,http://ufcstats.com/fighter-details/dedc3bb440d09554
Semmy Schilt,1973-10-27,http://ufcstats.com/fighter-details/d5ed14b2153c6ed2
Dave Cochran,1973-05-10,http://ufcstats.com/fighter-details/6dbb1107de9a4a08
Eric Wisely,1984-07-25,http://ufcstats.com/fighter-details/53f84637dfffab7a
Emanuel Newton,1984-01-02,http://ufcstats.com/fighter-details/fbbbc68d368832fa
Willamy Freire,1987-07-28,http://ufcstats.com/fighter-details/f1f37d667bcd0d27
Yizha,1997-01-08,http://ufcstats.com/fighter-details/3f11fd1751fa83b1
Makhmud Muradov,1990-02-08,http://ufcstats.com/fighter-details/ea7e5bc78d9de658
Megumi Fujii,1974-04-26,http://ufcstats.com/fighter-details/fb6c531726447ff3
Forrest Petz,1975-09-22,http://ufcstats.com/fighter-details/e86bc32f5997a8f7
Brendan Allen,1995-12-28,http://ufcstats.com/fighter-details/2f181c0467965b98
Ante Delija,1990-08-07,http://ufcstats.com/fighter-details/7d8435c56043b0ae
Brian Geraghty,1980-11-04,http://ufcstats.com/fighter-details/15edcf67ccf5be84
Vitor Belfort,1977-04-01,http://ufcstats.com/fighter-details/0ee783aa00e468f0
Din Thomas,1976-09-28,http://ufcstats.com/fighter-details/40a604761ca7d64d
Edwin Aguilar,1972-01-01,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
Zhang Weili,1989-08-13,http://ufcstats.com/fighter-details/1ebe20ebbfa15e29
Koji Oishi,1977-05-31,http://ufcstats.com/fighter-details/01daf32100ed7517
Elizeu Zaleski dos Santos,1986-12-11,http://ufcstats.com/fighter-details/8adcbd525fab8d9b
Ismail Naurdiev,1996-08-18,http://ufcstats.com/fighter-details/6a96ad1bc34fb113
Francis Carmont,1981-10-11,http://ufcstats.com/fighter-details/3591d0d5d382a381
Yasuhito Namekawa,1974-10-27,http://ufcstats.com/fighter-details/6083f497c22cc075
Dustin Neace,1986-09-12,http://ufcstats.com/fighter-details/e503aa5c252a1b4d
Dave Strasser,1969-07-13,http://ufcstats.com/fighter-details/980b4e712489098e
Victor Henry,1987-05-04,http://ufcstats.com/fighter-details/eb8d8c2a95cfccb8
Aljamain Sterling,1989-07-31,http://ufcstats.com/fighter-details/cb696ebfb6598724
Jutaro Nakao,1970-11-30,http://ufcstats.com/fighter-details/95eb112a85601a0a
Kazuo Misaki,1976-04-25,http://ufcstats.com/fighter-details/5e7a28f20927d64a
Kotetsu Boku,1977-05-27,http://ufcstats.com/fighter-details/d227958e8a0c1466
Pete Spratt,1971-01-09,http://ufcstats.com/fighter-details/c3ea8deeba00462b
